Date,CDX.NA.HY,CDX.NA.IG,SPOT,VALUE,Vol,EQU
01/17/2020,109.63,44.235,1.6195,1.6575625,12.1,3329.62
01/16/2020,109.599,44.176,1.6247,1.6563375,12.32,3316.81
01/15/2020,109.515,44.909,1.5985,1.639625,12.42,3289.29
01/14/2020,109.539,44.897,1.6199,1.6603375,12.39,3283.15
01/13/2020,109.651,44.35,1.6495,1.6824,12.32,3288.13
01/10/2020,109.663,44.35,1.6315,1.663725,12.56,3265.35
01/09/2020,109.76,44.03,1.653,1.682,12.54,3274.7
01/08/2020,109.594,45.29,1.6629,1.69055,13.45,3253.05
01/07/2020,109.447,46.865,1.6122,1.6443875,13.79,3237.18
01/06/2020,109.607,46.375,1.6058,1.6436875,13.85,3246.28
01/03/2020,109.569,45.973,1.5896,1.6234125,14.02,3234.85
01/02/2020,109.862,44.33,1.6665,1.6845375,12.47,3257.85
12/31/2019,109.64,45.515,1.691,1.69975,13.78,3230.78
12/30/2019,109.699,45.185,1.6699,1.6828625,14.82,3221.29
12/27/2019,109.806,44.162,1.678,1.69145,13.43,3240.02
12/26/2019,109.731,44.191,1.7189,1.729775,12.65,3239.91
12/24/2019,109.611,44.886,1.709,1.725475,12.67,3223.38
12/23/2019,109.544,45.235,1.7488,1.7562125,12.61,3224.01
12/20/2019,109.519,45.306,1.7304,1.7372875,12.51,3221.22
12/19/2019,109.419,45.894,1.7317,1.7369,12.5,3205.37
12/18/2019,109.419,46.013,1.7332,1.736775,12.58,3191.14
12/17/2019,109.303,46.033,1.7065,1.7190375,12.29,3192.52
12/16/2019,109.039,46.29,1.7014,1.718175,12.14,3191.45
12/13/2019,108.96,48.107,1.6532,1.6857875,12.63,3168.8
12/12/2019,108.872,47.981,1.7258,1.74595,13.94,3168.57
12/11/2019,108.654,49.3,1.6381,1.6800875,14.99,3141.63
12/10/2019,108.077,50.055,1.6859,1.7229125,15.68,3132.52
12/09/2019,107.526,50.382,1.6561,1.69025,15.86,3135.96
12/06/2019,107.796,49.43,1.6626,1.697925,13.62,3145.91
12/05/2019,107.56,50.691,1.6327,1.67405,14.52,3117.43
12/04/2019,107.598,50.615,1.5998,1.6478125,14.8,3112.76
12/03/2019,107.361,52.365,1.5424,1.6046375,15.96,3093.2
12/02/2019,107.46,51.729,1.6424,1.6820875,14.91,3113.87
11/29/2019,107.66,50.279,1.6259,1.6733625,12.62,3140.98
11/27/2019,107.716,49.78,1.6292,1.6782125,11.75,3153.63
11/26/2019,107.639,49.41,1.5959,1.6417125,11.54,3140.52
11/25/2019,107.46,50.2,1.6108,1.6665375,11.87,3133.64
11/22/2019,107.114,51.681,1.624,1.6812875,12.34,3110.29
11/21/2019,106.812,53.115,1.6189,1.6674875,13.13,3103.54
11/20/2019,106.838,52.958,1.589,1.63915,12.78,3108.46
11/19/2019,107.033,52.347,1.6204,1.6660375,12.86,3120.18
11/18/2019,107.311,51.487,1.6353,1.6794875,12.46,3122.03
11/15/2019,107.399,51.452,1.6468,1.6928625,12.05,3120.46
11/14/2019,107.236,52.577,1.6284,1.6766,13.05,3096.63
11/13/2019,107.322,52.426,1.6911,1.72975,13.0,3094.04
11/12/2019,107.503,51.94,1.7391,1.76445,12.68,3091.84
11/08/2019,107.648,51.553,1.7456,1.7745125,12.07,3093.08
11/07/2019,107.74,51.39,1.7302,1.7609875,12.73,3085.18
11/06/2019,107.639,52.057,1.6311,1.6909875,12.62,3076.78
11/05/2019,107.735,52.097,1.664,1.7122125,13.1,3074.62
11/04/2019,107.8,51.677,1.5932,1.65525,12.83,3078.27
